ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [5, 5] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [5, 5] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [5, 5, 5, 5] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [5, 5, 5, 5] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [5, 5, 5, 5] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [5, 5, 5, 5] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [5, 5, 5, 5] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [5, 5, 5, 5] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6, 6] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6, 6] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6, 6] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6, 6] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6, 6] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6, 6] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6, 6, 6, 6] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6, 6, 6, 6] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6, 6, 6, 6] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [6, 6, 6, 6] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9657794676806084, 'recall': 0.9794344473007712, 'f1_score': 0.9725590299936184} | HL: [6, 6, 6, 6] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7, 7] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7, 7] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7, 7] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7, 7] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7, 7] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7, 7] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7, 7, 7, 7] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7, 7, 7, 7] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7, 7, 7, 7] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7, 7, 7, 7] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7, 7, 7, 7] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [7, 7, 7, 7] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [8] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [8] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [8] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [8] | BS: 32 | LR: 0.005
